x,y
295.4443719425653,930.8957498672826
978.0438423712967,3075.4053462107736
742.3691063867966,2335.214223484929
-44.061902244403434,-135.59931373905349
865.0658369115943,2720.2284399593736
898.87289019327,2826.813495797734
-395.35076597376536,-1239.3459746728502
-614.700907767545,-1928.3885707487973
-767.5709070520478,-2408.7960585320566
-87.87880161711786,-273.2357006660409
-1156.579618015597,-3630.9626465179463
-816.2935995962205,-2561.9913255886754
-432.49831587539126,-1356.1070234972353
191.32060192414698,603.8578121401896
22.45957215876153,73.46972287905379
-518.3657937233069,-1625.6193028509697
-642.512939111355,-2015.6765808193813
-503.8615614393939,-1580.2451004718748
909.4242270586383,2859.464260924594
962.2326528625592,3025.921866111384
-1079.852577545843,-3389.634395728591
-374.87336365080716,-1174.7983637806863
-214.57213336346356,-671.172061009707
-644.8116919355873,-2022.9910300523834
129.32144185019123,408.97164573293463
193.13201706469854,609.389558367946
172.95218397500483,546.0792463470874
576.4744374153429,1813.682126090878
-751.1110715468407,-2357.1481539079678
511.18845121809653,1608.7963187261707
719.4498526157854,2262.879249020523
1094.5282676434638,3441.038948919544
668.6045129208222,2103.2312046988195
-897.6885244366383,-2817.2967598977534
-211.13321909902362,-660.7177936166709
1111.5602677725158,3494.9399138216663
211.95116903376547,668.4540392075193
69.51318951070529,221.35007786300415
701.3345489638733,2205.7601220387455
-54.72920701390443,-169.16376297285208
947.6866270214649,2979.7437079108063
1105.5424528927308,3475.680053767849
-30.28087696952232,-92.33949346128425
184.21637855292263,581.411242836863
-887.8790950466148,-2786.5174180322556
-1066.4880487426724,-3347.934844465931
708.5649421365921,2228.6993801846447
966.3008255383833,3038.5358876665077
1204.4461465648196,3786.400368283334
-734.5678591343782,-2305.079788839525
890.6405058530604,2800.7148925269876
168.2539734877251,531.4827790893381
-131.3292648269651,-409.68143344213735
-690.6530933348344,-2166.796949319204
-102.5183845734813,-319.41566075619863
252.09923297666083,794.4837666556439
-297.0351098967049,-930.4437248026023
-774.3620863224656,-2430.1884920291877
-802.0303433413151,-2517.162173774067
-129.34862265532527,-403.48573938971873
-830.5750582061307,-2606.4433758299606
1138.0647298328358,3577.7852956703728
-1072.3787900792315,-3366.27991127484
282.4437547231711,889.8257629200899
370.68281506914786,1167.3611824473971
-233.4658204217427,-730.655300279264
-599.7269140599614,-1881.4948441209503
712.0898600348073,2239.597976064905
793.091172606309,2494.0813206524317
-636.4936371673409,-1997.1652100412382
-748.5012946325508,-2348.8641239512845
877.3696201049544,2759.2796186681694
141.81585450397884,448.5301841454161
-714.4537863563654,-2241.8423734321755
-744.290926143884,-2335.8160812941364
-188.07666631428336,-587.8568148928183
541.4373792110327,1703.5014004433178
-937.7342183589747,-2943.071073221513
-508.0317067386048,-1593.1546235634348
1054.6502626695114,3315.8715752103617
-477.23237657126634,-1496.3216802175725
155.5441569884017,491.3900578308922
981.1739131441653,3085.069618222178
1184.0257595104804,3722.468418937339
-856.4833009097043,-2688.120837192208
326.7408656385864,1029.1192866437527
-496.12284226866825,-1555.5998256895798
-963.2538453859399,-3023.135287619523
883.9475806845248,2779.947670913895
188.33884125928034,594.4309640751007
-4.9512198177554865,-13.097673677297763
4.09775639779792,15.436292494505778
720.7493493908887,2267.089137000379
-414.70439989791294,-1300.2429410143948
531.5193479260344,1672.2529942591543
156.4205390210758,494.30822546025956
-591.2579085561562,-1855.0716976536442
942.1211740016274,2962.2769333483843
-461.6494043568288,-1447.7361017820576
-406.26820306203666,-1273.6390692620516
113.30547287034801,358.74339473364574
-441.8115976195653,-1385.1381603717948
-769.1535325535232,-2413.429910492286
-403.1674425609032,-1263.9654842576963
812.3917843298243,2555.03314671928
1012.4656529153751,3183.246607626814
469.6671043847272,1477.9576716525548
-1006.21652097893,-3158.630860802871
633.127889029153,1991.8717397599285
532.2810739382329,1675.0904118903063
1.8863789195281075,8.767880090331957
-775.3199071472798,-2433.317658636736
866.0244477683517,2723.2371923704504
712.0250874832009,2239.6779235493973
435.64579685648545,1371.4540961670411
-75.51796130858958,-234.54536619764647
75.40403839786973,239.8078702407508
-334.2305757782014,-1047.4841691107738
891.2747716114756,2802.6483970539393
615.9452780484855,1937.8652224903976
-1040.018075495015,-3264.3521371668426
585.2392332598058,1841.1538484463174
446.13521243490044,1404.2174978350595
-512.3230852679793,-1606.8490587055398
-376.2812927981992,-1179.1361437758503
-268.7967305433857,-841.4913158074612
-510.78511856288515,-1601.741784903482
229.93591960153375,725.0414071222084
303.4885194142695,956.1048243790005
1065.4094272689135,3349.930565104649
-191.86937120131526,-599.9289005236038
1088.8898050931512,3423.596854280539
123.58858937291133,390.6924297266574
-33.0874847088321,-101.04946981980514
-951.4373547142859,-2986.4077931056077
535.9561353408299,1686.2598451112042
47.68832001504029,152.7452569188097
-682.691266832045,-2142.1878817463657
228.3932376517746,720.0127126749113
256.1615258692244,807.6083472446907
989.2233399832912,3110.574194224876
-669.7415410967948,-2101.056345830806
-169.73738512788324,-530.7264898716735
-485.32391404208215,-1522.1600753716255
-1198.261816341508,-3761.721100262036
360.8716238457067,1136.3969574999192
-800.1967583673265,-2510.988786507771
-1090.4836875063777,-3423.4351822015483
-1093.0230764673902,-3430.9780093791364
-842.5138099759521,-2643.926087654176
-1036.5398414305298,-3253.4835974625885
-31.899910925241933,-97.64543275029001
-234.34044248455467,-733.6508582723858
-981.6810716058902,-3081.3170532188838
-923.7807403054637,-2899.5751648734276
587.0258331312092,1847.0450474776326
-273.7264982868362,-857.1780314623707
-1150.139996584487,-3610.662534664261
-1192.768902778061,-3744.3483425905115
-247.728695888924,-775.2573567445935
277.528193607444,874.5921146131992
647.5600961668101,2036.968962901459
-737.4230339457357,-2313.727638314312
-183.64072163234076,-574.3057879991571
-39.35607607113593,-121.1928551625487
1221.7189473394849,3840.626661311403
246.86825518371265,778.4449588185751
525.2202557343851,1652.52308562768
-813.2968821340792,-2552.4486161648133
947.1862510526873,2978.6596837529137
-739.1397325079711,-2319.453545391644
-878.5206552095275,-2757.1691922055456
786.3554480415127,2472.937759609437
859.656770798111,2703.5834455040144
-439.7949257492385,-1379.2153413494618
-1022.3201521775177,-3208.7728708646914
-364.3010103829713,-1141.9802884293256
